"FileName","Description","ShortName","Unit","Min","Max"
"ANDACCX","Android Accelerometer X","AccX","g",-100,+100
"ANDACCY","Android Accelerometer Y","AccY","g",-100,+100
"ANDACCZ","Android Accelerometer Z","AccZ","g",-100,+100
"ANDACCA","Android Accelerometer Absolute Value","Acc","g",-100,+100
"ANDORIAZ","Android Orientation Azimuth","OrAz","Deg",-360,+360
"ANDORIPI","Android Orientation Pitch","OrPi","Deg",-360,+360
"ANDORIRO","Android Orientation Roll","OrRo","Deg",-360,+360
"ANDMAFX","Android Magnetic Field X","MagX","",-100,+100
"ANDMAFY","Android Magnetic Field Y","MagY","",-100,+100
"ANDMAFZ","Android Magnetic Field Z","MagZ","",-100,+100
"ANDLIG","Android Light","Ligh","",0,1000
"ANDPRO","Android Proximity","Prox","",0,1000
"ANDGPSLA","Android GPS Latitude","Lat","",0,1000
"ANDGPSLO","Android GPS Longitude","Lon","",0,1000
"ANDGPSAL","Android GPS Altitude m","AltM","",-100,3000
"ANDVIMGPSAL","Android GPS Altitude ft","AltF","",-100,3000
"ANDGPSAC","Android GPS Accuracy m"
"OBDCEP","On-board diagnostics commanded evaporative purge"
"OBDFLI","On-board diagnostics fuel level input"
"SFDECGC1","Schiller FD12 ECG Channel 1"
"SFDECGC2","Schiller FD12 ECG Channel 2"
"SFDECGC3","Schiller FD12 ECG Channel 3"
"SFDECGC4","Schiller FD12 ECG Channel 4"
"SFDECGC5","Schiller FD12 ECG Channel 5"
"SFDECGC6","Schiller FD12 ECG Channel 6"
"SFDECGC7","Schiller FD12 ECG Channel 7"
"SFDECGC8","Schiller FD12 ECG Channel 8"
"SFDECGC9","Schiller FD12 ECG Channel 9"
"SDRALT","Sensordrone Altitude m"
"SDRVIMALT","Sensordrone Altitude yd"
"SDRBATV","Sensordrone Battery Voltage"
"SDRCAP","Sensordrone Capacitance"
"SDRADC","Sensordrone External ADC"
"SDRHUM","Sensordrone Humidity"
"SDRIRTEMP","Sensordrone IR Temperature °C"
"SDRVIMIRT","Sensordrone IR Temperature °F"
"SDROXIDGAS","Sensordrone Oxidizing gas"
"SDRPRECGAS","Sensordrone Precision Gas"
"SDRREDUGAS","Sensordrone Reducing Gas"
"SDRPRES","Sensordrone Pressure"
"SDRRGBCRED","Sensordrone RGBC Red"
"SDRRGBCGREEN","Sensordrone RGBC Green"
"SDRRGBCBLUE","Sensordrone RGBC Blue"
"SDRRGBCCLEAR","Sensordrone RGBC Clear"
"SDRRGBCLUM","Sensordrone RGBC Luminosity"
"SDRRGBCTEMP","Sensordrone RGBC Color Temperature"
"SDRTEMP","Sensordrone Temperature °C"
"SDRVIMTEMP","Sensordrone Temperature °F"
"TISTEMAM","TI SensorTag Ambient Temperature °C"
"TISVIMTA","TI SensorTag Ambient Temperature °F"
"TISTEMOB","TI SensorTag Object Temperature °C"
"TISVIMTO","TI SensorTag Object Temperature °F"
"TISACCX","TI SensorTag Accelerometer X"
"TISACCY","TI SensorTag Accelerometer Y"
"TISACCZ","TI SensorTag Accelerometer Z"
"TISMAGX","TI SensorTag Magnetometer X"
"TISMAGY","TI SensorTag Magnetometer Y"
"TISMAGZ","TI SensorTag Magnetometer Z"
"TISGYRX","TI SensorTag Gyroscope X"
"TISGYRY","TI SensorTag Gyroscope Y"
"TISGYRZ","TI SensorTag Gyroscope Z"
"TISHUM","TI SensorTag Humidity"
"TISBAR","TI SensorTag Barometric Pressure"
"TISBUTL","TI SensorTag Left Button"
"TISBUTR","TI SensorTag Right Button"
"VCHECG","VC HealthPatch ECG Signal"
"VCHBAT","VC HealthPatch Battery Level"
"VCHHRA","VC HealthPatch Heart Rate"
"VCHSTE","VC HealthPatch Step Count"
"VCHACT","VC HealthPatch Activity"
"VCHSTR","VC HealthPatch Stress Level"
"VCHEER","VC HealthPatch Energy Expenditure Rate"
"VCHEEX","VC HealthPatch Energy Expended"
"VCHIMP","VC HealthPatch Impedance"
"VCHACX","VC HealthPatch Accelerometer X"
"VCHACY","VC HealthPatch Accelerometer Y"
"VCHACZ","VC HealthPatch Accelerometer Z"
"VCHRES","VC HealthPatch Respiration Rate"
"VCHRTR","VC HealthPatch RR Interval"
"VCHSKT","VC HealthPatch Skin Temperature"
"VCHFAL","VC HealthPatch Fall Event"
"ZEPGPAHR","Zephyr Heart Rate"
"ZEPGPAHRMIN","Zephyr Heart Rate Min/Interval"
"ZEPGPAHRMAX","Zephyr Heart Rate Max/Interval"
"ZEPGPAHRAVG","Zephyr Heart Rate Average/Interval"
"ZEPGPAHRSTD","Zephyr Heart Rate Standard Deviation/Interval"
"ZEPGPARR","Zephyr Respiration Rate"
"ZEPGPARRMIN","Zephyr Respiration Rate Min/Interval"
"ZEPGPARRMAX","Zephyr Respiration Rate Max/Interval"
"ZEPGPARRAVG","Zephyr Respiration Rate Average/Interval"
"ZEPGPARRSTD","Zephyr Respiration Rate Standard Deviation/Interval"
"ZEPGPAST","Zephyr Skin Temperature °C"
"ZEPVIMTEMP","Zephyr Skin Temperature °F"
"ZEPGPAPO","Zephyr Posture"
"ZEPGPAAC","Zephyr Activity"
"ZEPGPAACMIN","Zephyr Activity Min/Interval"
"ZEPGPAACMAX","Zephyr Activity Max/Interval"
"ZEPGPAACAVG","Zephyr Activity Average/Interval"
"ZEPGPAACSTD","Zephyr Activity Standard Deviation/Interval"
"ZEPGPABS","Zephyr Battery Status"
"ZEPGPAOK","Zephyr HR Data OK"
"ZEPECG","Zephyr ECG"
"ZEPACCX","Zephyr Accelerometer X"
"ZEPACCY","Zephyr Accelerometer Y"
"ZEPACCZ","Zephyr Accelerometer Z"
"ZEPACCA","Zephyr Accelerometer Absolute Value"
"ZEPACCPM","Zephyr Pedometer (calculated from accelerometer)"
"ZEPRTR","Zephyr R to R"
"ZEPRTRA","Zephyr R to R (absolute)"
"ZEPRTRAD","Zephyr R to R (absolute, distinct)"
"ZEPSDPDT","Zephyr Device Internal Temperature °C"
"ZEPSDPDTMIN","Zephyr Device Internal Temperature °C Min/Interval"
"ZEPSDPDTMAX","Zephyr Device Internal Temperature °C Max/Interval"
"ZEPSDPDTAVG","Zephyr Device Internal Temperature °C Average/Interval"
"ZEPSDPDTSTD","Zephyr Device Internal Temperature °C Standard Deviation/Interval"
"ZEPVIMTDEV","Zephyr Device Internal Temperature °F"
"ZEPVIMTDEVMIN","Zephyr Device Internal Temperature °F Min/Interval"
"ZEPVIMTDEVMAX","Zephyr Device Internal Temperature °F Max/Interval"
"ZEPVIMTDEVAVG","Zephyr Device Internal Temperature °F Average/Interval"
"ZEPVIMTDEVSTD","Zephyr Device Internal Temperature °F Standard Deviation/Interval"
"ZEPSDPET","Zephyr Estimated Core Temperature °C"
"ZEPVIMTCOR","Zephyr Estimated Core Temperature °F"
"ZEHHSDHR","Zephyr HxM Heart Rate"
"ZEHHSDDI","Zephyr HxM Distance m"
"ZEHVIMDI","Zephyr HxM Distance yd"
"ZEHHSDSP","Zephyr HxM Instantaneous Speed m/s"
"ZEHVIMSP","Zephyr HxM Instantaneous Speed ft/s"
"ZEHHSDST","Zephyr HxM Strides"
"ZEHHSDBC","Zephyr HxM Battery Charge"
"ZEHHSDRR","Zephyr HxM R to R"
"Z1HHSDHR","Zephyr HxM 1 Heart Rate"
"Z1HHSDDI","Zephyr HxM 1 Distance m"
"Z1HVIMDI","Zephyr HxM 1 Distance yd"
"Z1HHSDSP","Zephyr HxM 1 Instantaneous Speed m/s"
"Z1HVIMSP","Zephyr HxM 1 Instantaneous Speed ft/s"
"Z1HHSDST","Zephyr HxM 1 Strides"
"Z1HHSDBC","Zephyr HxM 1 Battery Charge"
"Z1HHSDRR","Zephyr HxM 1 R to R"
"Z2HHSDHR","Zephyr HxM 2 Heart Rate"
"Z2HHSDDI","Zephyr HxM 2 Distance m"
"Z2HVIMDI","Zephyr HxM 2 Distance yd"
"Z2HHSDSP","Zephyr HxM 2 Instantaneous Speed m/s"
"Z2HVIMSP","Zephyr HxM 2 Instantaneous Speed ft/s"
"Z2HHSDST","Zephyr HxM 2 Strides"
"Z2HHSDBC","Zephyr HxM 2 Battery Charge"
"Z2HHSDRR","Zephyr HxM 2 R to R"
"Z3HHSDHR","Zephyr HxM 3 Heart Rate"
"Z3HHSDDI","Zephyr HxM 3 Distance m"
"Z3HVIMDI","Zephyr HxM 3 Distance yd"
"Z3HHSDSP","Zephyr HxM 3 Instantaneous Speed m/s"
"Z3HVIMSP","Zephyr HxM 3 Instantaneous Speed ft/s"
"Z3HHSDST","Zephyr HxM 3 Strides"
"Z3HHSDBC","Zephyr HxM 3 Battery Charge"
"Z3HHSDRR","Zephyr HxM 3 R to R"
"Z4HHSDHR","Zephyr HxM 4 Heart Rate"
"Z4HHSDDI","Zephyr HxM 4 Distance m"
"Z4HVIMDI","Zephyr HxM 4 Distance yd"
"Z4HHSDSP","Zephyr HxM 4 Instantaneous Speed m/s"
"Z4HVIMSP","Zephyr HxM 4 Instantaneous Speed ft/s"
"Z4HHSDST","Zephyr HxM 4 Strides"
"Z4HHSDBC","Zephyr HxM 4 Battery Charge"
"Z4HHSDRR","Zephyr HxM 4 R to R")
